0	71
1	64.5
2	59
3	54.7
4	50.5
5	47
6	43.8
7	40.6
8	37.8
9	35.3
10	33.3
11	31.5
12	30
13	28.7
14	27.5
15	26.3
16	25.2
17	24.1
18	23
19	22
20	21
21	20
22	19
23	18.2
24	17.3
25	16.5
26	15.8
27	15.1
28	14.5
29	13.9
30	13.4
31	12.7
32	12
33	11.4
34	10.8
35	10.1912744
36	9.62186
37	9.0619552
38	8.5729656
39	8.0866496
40	7.6575136
41	7.2414976
42	6.8863984
43	6.5227536
44	6.1720864
45	5.8710464
46	5.5755168
47	5.2756712
48	5.0144104
49	4.7628544
50	4.501584
51	4.24
52	4.0412472
53	3.8
54	3.597012
55	3.3963576
56	2.96
57	2.72
58	2.4
59	2.08
60	1.68
61	1.36
62	1.088
63	0.8
64	0.4
65	0
